City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Avera,US,2022-05-04 17:52:38,33.194,-82.5271,87.39,39,65,7.7
198,Banda Aceh,ID,2022-05-04 17:52:38,5.5577,95.3222,80.08,78,94,9.31
199,Yeppoon,AU,2022-05-04 17:52:39,-23.1333,150.7333,67.78,92,15,6.29
200,Hilo,US,2022-05-04 17:52:39,19.7297,-155.09,76.28,96,100,3.44
201,Deputatskiy,RU,2022-05-04 17:52:40,69.3,139.9,12.99,99,93,0.98
202,Nhulunbuy,AU,2022-05-04 17:52:40,-12.2333,136.7667,75.81,94,100,1.14
203,Nanortalik,GL,2022-05-04 17:52:41,60.1432,-45.2371,33.4,80,46,9.31
204,Doha,QA,2022-05-04 17:50:48,25.2867,51.5333,94.98,23,0,4.61
205,Aklavik,CA,2022-05-04 17:52:42,68.2191,-135.0107,26.6,74,100,11.5
206,Karwar,IN,2022-05-04 17:52:42,14.8,74.1333,82.74,80,69,7.63
207,Goderich,CA,2022-05-04 17:52:43,43.7501,-81.7165,47.91,81,89,17.27
208,Killybegs,IE,2022-05-04 17:52:43,54.6333,-8.45,51.51,83,99,7.58
209,Byron Bay,AU,2022-05-04 17:49:34,-28.65,153.6167,63.95,91,20,5.66
210,Macae,BR,2022-05-04 17:52:44,-22.3708,-41.7869,98.35,34,0,5.75
211,Rovnoye,RU,2022-05-04 17:52:44,50.7765,46.0509,53.24,56,12,8.72
212,Vilyuysk,RU,2022-05-04 17:52:45,63.7553,121.6247,29.66,95,98,3.4
213,Prince Rupert,CA,2022-05-04 17:48:01,54.3161,-130.3201,46.49,76,75,19.57
214,Argentan,FR,2022-05-04 17:52:45,48.75,-0.0167,55.67,83,54,7.34
215,Puerto Ayora,EC,2022-05-04 17:52:46,-0.7393,-90.3518,80.56,78,33,8.59
216,San Matias,BO,2022-05-04 17:52:46,-16.3667,-58.4,78.28,32,81,6.24
217,Springfield,US,2022-05-04 17:50:21,37.2153,-93.2982,52.43,91,100,10.36
